title,intervention_classes,outcome_terms,topic_cluster,hype_terms_n,hype_flag,screen_label
YTHDF1 differentiates the contributing roles of mTORC1 in aging.,rapamycin_mtor,,0,0,False,uncertain
Cardiovascular Aging and Exercise: Implications for Heart Failure Prevention and Management.,exercise,,2,0,False,uncertain
Heterochronic parabiosis uncovers AdipoR1 as a critical player in retinal rejuvenation.,controversial,rejuvenation,0,1,True,uncertain
Creatine monohydrate supplementation for older adults and clinical populations.,supplements,,2,0,False,uncertain
A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.,fasting,,0,0,False,uncertain
Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,reprogramming,,0,1,True,uncertain
mTOR dysregulation induces IL-6 and paracrine AT2 cell senescence impeding lung repair in lymphangioleiomyomatosis.,rapamycin_mtor,senescence,0,0,False,uncertain
Aging and the microbiome: implications for health and disease.,microbiome,,1,0,False,uncertain
Dietary restriction in aging and longevity.,caloric_restriction,,5,0,False,uncertain
Head‐to‐head comparison of two senolytic therapies in a mouse model of tauopathy,senolytics,,7,0,False,uncertain
Lifestyle factors affecting aging and healthspan in dogs and cats,lifestyle_bundle,healthspan,6,0,False,uncertain
Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics,microbiome,,1,0,False,uncertain
"Metformin and epigenetic age in non-diabetic older people with HIV in Madrid (METFORAGING): a double-blind, randomised, placebo-controlled, pilot trial",metformin,,0,0,False,uncertain
Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging,metformin,,0,0,False,uncertain
Physical activity attenuates the association between allostatic load and early Alzheimer's disease‐related biomarkers in older adults,exercise,,2,0,False,uncertain
"Targeting muscle–vasculature crosstalk in aging through the integrative roles of L-citrulline, leucine, and exercise: focus on muscle metabolism, vascular function, and sarcopenia prevention",exercise,,2,0,False,uncertain
The Role of Cellular Senescence and SASP in the Pathogenesis of Atherosclerosis and the Therapeutic Potential of Senolytic Strategies in Cardiovascular Diseases,senolytics,senescence,7,0,False,uncertain
