title,authors,year,journal,doi,pmid,source,is_preprint,study_design,species_model,sample_size,age_sex,disease_status,intervention_name,intervention_class,dose_intensity,duration,comparator,outcome_exact,ageing_domain_category,effect_direction,effect_size,uncertainty_measure,follow_up_time,mechanism,mechanism_directness,extraction_confidence,missingness_flag,ambiguity_notes,claim_score,claim_category
Intravenous infusion of nicotinamide adenine dinucleotide (NAD+) versus nicotinamide riboside (NR): a retrospective tolerability pilot study in a real-world setting,Reyna Kirsten; Heinzen Greer; Patel Nikita; Ritter Marie; Siojo Alexandra; Legere Henry; Pojednic Rachele,2026.0,Frontiers in Aging,10.3389/fragi.2026.1652582,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Effects of exercise training on frail older adults with heart failure: a systematic-review.,"Sáez-Nieto C, Pérez-Rodríguez P, Matovelle P, Rodríguez-Mañas L, Coelho-Júnior HJ, Rodríguez-Sánchez I.",2026.0,Front Aging,10.3389/fragi.2026.1800669,41969362.0,europe_pmc,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
Practical guidelines for exercise prescription in different clinical populations.,"Komici K, Bianco A, Cuomo A, Bianco R, Illario M, Guerra G, Paoli A, Schena F, Iaccarino G.",2026.0,Front Sports Act Living,10.3389/fspor.2026.1649549,41847621.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
"Dynamic Oxidative States: Interplay of Aging, Metabolic Stress, and Circadian Rhythms in Modulating Stroke Severity.","Sun JM, Jan JS, Hsieh CT, Taliyan R, Yang CH, Teng RD, Yen TL.",2025.0,Antioxidants (Basel),10.3390/antiox15010054,41596112.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Nicotinamide, Nicotinamide Riboside and Nicotinic Acid—Emerging Roles in Replicative and Chronological Aging in Yeast",Orlandi Ivan; Alberghina Lilia; Vai Marina,2020.0,Biomolecules,10.3390/biom10040604,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Enzymatic and Chemical Syntheses of Vacor Analogs of Nicotinamide Riboside, NMN and NAD",Sverkeli Lars Jansen; Hayat Faisal; Migaud Marie E.; Ziegler Mathias,2021.0,Biomolecules,10.3390/biom11071044,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Pathobiochemistry of Aging and Neurodegeneration: Deregulation of NAD+ Metabolism in Brain Cells.,"Kolotyeva NA, Groshkov AA, Rozanova NA, Berdnikov AK, Novikova SV, Komleva YK, Salmina AB, Illarioshkin SN, Piradov MA.",2024.0,Biomolecules,10.3390/biom14121556,39766263.0,europe_pmc,False,animal_experiment,cellular,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.0,biomarker_or_preclinical_evidence
Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics.,"Garzon-Escamilla N, Medina-Cardena M, Roy P, Trent J, Jamous J, Somesan Y, Denslow SJ.",2026.0,Biomedicines,10.3390/biomedicines14020316,41751214.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging.,"Han SY, Yadav MK, Wang JH.",2026.0,Biomedicines,10.3390/biomedicines14020376,41751275.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,metformin,metformin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Rejuvenated Autologous Adult Stem Cells: Emerging Front Runners in the Fight Against Aging and Associated Diseases.,"Yu A, Ma C, Hu M.",2025.0,Cells,10.3390/cells14151153,40801586.0,europe_pmc,False,in_vitro_study,cellular,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
Partial Reprogramming Is Conserved from Insect to Mammal.,"Tolwinski NS, Fong S, Shankar S, Gruber J.",2026.0,Cells,10.3390/cells15020168,41597242.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,reprogramming,reprogramming,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,3.5,speculative_or_hype_heavy
Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies,Imb Monika; Véghelyi Zsolt; Maurer Michael; Kühnel Harald,2024.0,International Journal of Molecular Sciences,10.3390/ijms251910419,,crossref,False,unclear_or_metadata_only,unclear,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Targeting Cellular Senescence with Liposome-Encapsulated Fisetin: Evidence of Senomorphic Effect,Henschke Agata; Grześkowiak Bartosz; Ivashchenko Olena; Sánchez-Cerviño María Celina; Coy Emerson; Moya Sergio,2025.0,International Journal of Molecular Sciences,10.3390/ijms26157489,,crossref,False,in_vitro_study,cellular,,,,senolytics,senolytics,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.5,biomarker_or_preclinical_evidence
"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases.","Ozdemir SA, Faizan MI, Kaur G, Shaikh SB, Ul Islam K, Rahman I.",2025.0,Int J Mol Sci,10.3390/ijms26199687,41096951.0,europe_pmc,False,in_vitro_study,cellular,,,,senolytics,senolytics,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.5,biomarker_or_preclinical_evidence
Probiotic Modulation in Aging: Strain-Specific Geroprotective Effects in &lt;i&gt;Caenorhabditis elegans&lt;/i&gt;.,"Sciandrone B, Squarzanti DF, Malfa P, Regonesi ME.",2025.0,Int J Mol Sci,10.3390/ijms262211205,41303688.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Senolytic Treatment Improves Responsiveness to Mechanical Loading in the Skeleton of Aged Mice.,"Cunningham CJ, Kok HJ, Farr JN, Khosla S, Robling AG.",2025.0,Int J Mol Sci,10.3390/ijms262211233,41303716.0,europe_pmc,False,animal_experiment,animal,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Momordica charantia Extract Treatment Extends the Healthy Lifespan of Aging Mice via the Bitter Taste Receptor/mTOR Pathway,Hiramoto Keiichi; Oikawa Hirotaka,2024.0,Journal of Ageing and Longevity,10.3390/jal4040021,,crossref,False,animal_experiment,animal,,,,rapamycin_mtor,rapamycin_mtor,,,,lifespan,hard_ageing_relevance,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.0,promising_but_incomplete
Metformin Regulation of the Liver Circadian Clock and Metabolic Aging: A Systems Modeling Study.,"Zhang M, Li Y.",2026.0,Metabolites,10.3390/metabo16030208,41893357.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,sleep_circadian,sleep_circadian; metformin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
The Molecular Exposome of Visible Age Reversal: From Organ-Skin Axes to Regenerative Aesthetics.,Yamada H.,2026.0,Molecules,10.3390/molecules31071147,41976189.0,europe_pmc,False,animal_experiment,unclear,,,,stem_cell,stem_cell,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,stem_cell_effects,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.0,speculative_or_hype_heavy
Nicotinamide Riboside and Dihydronicotinic Acid Riboside Synergistically Increase Intracellular NAD+ by Generating Dihydronicotinamide Riboside,Ciarlo Eleonora; Joffraud Magali; Hayat Faisal; Giner Maria Pilar; Giroud-Gerbetant Judith; Sanchez-Garcia Jose Luis; Rumpler Marie; Moco Sofia,2022.0,Nutrients,10.3390/nu14132752,,crossref,False,animal_experiment,cellular,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.0,biomarker_or_preclinical_evidence
Vitamin B3 Ameliorates Sleep Duration and Quality in Clinical and Pre-Clinical Studies.,Weiss C.,2025.0,Nutrients,10.3390/nu17121982,40573093.0,europe_pmc,False,animal_experiment,unclear,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Endocrine Adaptations to Prolonged Fasting: From Physiology, Clinical Uncertainties, Translational Challenges to Healthspan Implications.","Herman R, Trsan J, Lipar L, Jensterle M, Janez A.",2025.0,Nutrients,10.3390/nu17243949,41470894.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,fasting,fasting,,,,healthspan,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.0,biomarker_or_preclinical_evidence
"Beneficial Effects of Fisetin, a Senotherapeutic Compound, in Women's Reproductive Health and Diseases: Evidence from In Vitro to Clinical Studies.","El Sayed S, Saiyed D, Macri VI, Asamoah-Mensah A, Segars JH, Islam MS.",2026.0,Nutrients,10.3390/nu18030393,41683217.0,europe_pmc,False,in_vitro_study,cellular,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.5,speculative_or_hype_heavy
"How We Sleep, How We Move, How Long We Expect to Live: An Integrative Review of Lifestyle Behaviors and Subjective Life Expectancy.","Pătru O, Păunescu A, Bena A, Luca S, Văcărescu C, Ciornei AI, Virtosu M, Enache B, Luca CT, Crisan S.",2026.0,Nutrients,10.3390/nu18030515,41683337.0,europe_pmc,False,animal_experiment,unclear,,,,sleep_circadian,sleep_circadian; lifestyle_bundle,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
From Lifespan to Healthspan: Integrating Nutrition and Physical Activity in Healthy Ageing.,Sołtysik BK.,2026.0,Nutrients,10.3390/nu18030528,41683350.0,europe_pmc,False,animal_experiment,unclear,,,,exercise,exercise,,,,lifespan; healthspan,hard_ageing_relevance,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions.","Lim MJS, Parlindungan E, See E, Gan CH, Yap R, Yong GJM.",2026.0,Nutrients,10.3390/nu18071052,41978103.0,europe_pmc,False,unclear_or_metadata_only,human,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
A Narrative Review of Nicotinamide Adenine Dinucleotide (NAD)+ Intermediates Nicotinamide Riboside and Nicotinamide Mononucleotide for Keratinocyte Carcinoma Risk Reduction,Kahn Benjamin; Borrelli Mimi; Libby Tiffany,2022.0,Journal of Drugs in Dermatology,10.36849/jdd.6870,,crossref,False,animal_experiment,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
"Gut Microbiota, Probiotics, and Aging: Molecular Mechanisms and Implications for Healthy Aging.",Kim JY.,2026.0,J Microbiol Biotechnol,10.4014/jmb.2511.11046,41555509.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,microbiome,microbiome,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Senolytic effect of dasatinib and quercetin on human beings,Tkemaladze Jaba,2019.0,Biomedical Research,10.4066/biomedicalresearch-c1-026,,crossref,False,unclear_or_metadata_only,human,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Caloric Restriction,,2018.0,The SAGE Encyclopedia of Lifespan Human Development,10.4135/9781506307633.n113,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Nicotinamide mononucleotide attenuates hepatic endoplasmic reticulum stress and modulates circadian rhythms in young mice with diet-induced obesity.,"Kwon SY, Na K, Han Y, Song S, Park YJ.",2026.0,Nutr Res Pract,10.4162/nrp.2026.20.2.220,41970324.0,europe_pmc,False,animal_experiment,animal,,,,sleep_circadian,sleep_circadian,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
Resistance Training and Frail Adults,Boone Tommy,2022.0,Exercise Medicine for the Frailty Syndrome,10.4324/9781003119920-12,,crossref,False,unclear_or_metadata_only,human,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,10.5,promising_but_incomplete
"Aging, health, and physical activity in Iran",Jahromi Maryam Koushkie,2018.0,"Ageing, Physical Activity and Health",10.4324/9781315167992-12,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
"Education, physical activity, and healthy aging in Italy",Cunti Antonia; Bellantonio Sergio,2018.0,"Ageing, Physical Activity and Health",10.4324/9781315167992-14,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Healthy aging in Cuba through physical activity,Hernández Marta Cañizares,2018.0,"Ageing, Physical Activity and Health",10.4324/9781315167992-8,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Physical and cognitive exercise in ageing,,2016.0,Handbook of Gerontology Research Methods,10.4324/9781315771533-11,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Physiological Adaptability to Training and Physical Activity,,2021.0,Physiology of Exercise and Healthy Aging,10.5040/9781718235922.part-003,,crossref,False,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Proof of Concept - The Impact of Resistance Training on Female Biological Age: Evidence from a Sex-Specific Epigenetic Clock (UmmuAge),Collins Christopher,,,10.51224/sportrxiv.825,,crossref,True,unclear_or_metadata_only,unclear,,,,exercise,exercise,,,,epigenetic clock; biological age,biological_ageing_biomarker,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,8.5,promising_but_incomplete
Cross-senolytic effects of dasatinib and quercetin in humans,Tkemaladze Jaba,2023.0,GEORGIAN SCIENTISTS,10.52340/2023.05.03.15,,crossref,False,unclear_or_metadata_only,human,,,,senolytics,senolytics,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,cellular_senescence,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Nicotinamide Mononucleotide (NMN) as a Solution of Decrease Nicotinamide Adenine Dinucleotide (NAD+) in Aging,Mei Permatasari Ni Kadek; Widiantara Bagus Putra I Gusti Ngurah Agung Krisna; Wahyu Purnamasidhi Cokorda Agung,2023.0,International Journal of Research and Review,10.52403/ijrr.20230871,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],Redman Leanne,2016.0,,10.5256/f1000research.7686.r12172,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],Mattison Julie,2016.0,,10.5256/f1000research.7686.r12173,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved],Anderson Rozalyn,2016.0,,10.5256/f1000research.7686.r12174,,crossref,False,unclear_or_metadata_only,unclear,,,,caloric_restriction,caloric_restriction,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Overview of parabiosis and heterochronic parabiosis research in the context of aging,Pishel Iryna,2024.0,ExRNA,10.55092/exrna20240006,,crossref,False,unclear_or_metadata_only,unclear,,,,controversial,controversial,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,unclear,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,2.0,speculative_or_hype_heavy
"Sequential versus Co-treatment of MitoQ and NMN to Enhance Autophagy, NAD⁺ Metabolism, and Mitochondrial Function in Cellular Senescence, with Exploratory Uncoupler–NMN Synergy in Vascular Aging",Agent Aubrai,2025.0,,10.55277/researchhub.ez1231cm,,crossref,False,animal_experiment,cellular,,,,nad_sirtuin,nad_sirtuin,,,,senescence,biological_ageing_biomarker,not_extracted_metadata_only,,,,cellular_senescence; mitochondrial_function; proteostasis_autophagy; sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.5,biomarker_or_preclinical_evidence
"Where and How in the mTOR Pathway Inhibitors Fight Aging: Rapamycin, Resveratrol, and Metformin",Arbor Sage,2019.0,"Resveratrol - Adding Life to Years, Not Adding Years to Life",10.5772/intechopen.79338,,crossref,False,animal_experiment,unclear,,,,metformin,metformin; rapamycin_mtor; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
Partial Reprogramming Uncouples Cellular Identity from Cellular Aging in Mesenchymal Stromal Cells,Oshimura Mitsuo,2026.0,International Journal of Stem Cells and Medicine,10.58489/2836-5038/028,,crossref,False,in_vitro_study,cellular,,,,reprogramming,reprogramming,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,4.0,speculative_or_hype_heavy
"Impact of probiotic supplementation in lactating sows on immune and oxidative stress biomarkers, short-chain fatty acids, piglet performance, and fecal microbiome",; Srisang Chutikan,,,10.58837/chula.the.2023.1067,,crossref,False,unclear_or_metadata_only,human,,,,microbiome,microbiome; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,microbiome_host,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
Molecular mechanisms of metformin action: From metabolic effects to lifespan extension and healthspan promotion.,"Vujović S, Perović S, Vlaović M, Šćepanović S, Filipović A.",2026.0,J Med Biochem,10.5937/jomb0-60849,41821769.0,europe_pmc,False,unclear_or_metadata_only,unclear,,,,metformin,metformin,,,,lifespan; healthspan,hard_ageing_relevance,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.6,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
EFFICACY OF NICOTINAMIDE MONONUCLEOTIDE SUPPLEMENTATION (NMN) IN BLOOD NICOTINAMIDE ADENINE DINUCLEOTIDE (NAD) FOR ANTI-AGING IN ADULTS: A SYSTEMATIC REVIEW,Asrithari Dewi Made Yudha; Dananjaya I Made Dwi; Saraswati Dewi Permadi Anak Agung Sagung; Sigmahadewi Risma Nopara,2024.0,Journal of Advanced Research in Medical and Health Science (ISSN 2208-2425),10.61841/gyj2gr52,,crossref,False,unclear_or_metadata_only,human,,,,nad_sirtuin,nad_sirtuin; supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.5,promising_but_incomplete
"Impact of nicotinamide riboside, a precursor of NAD⁺ on cardiac remodeling after myocardial infarction in rat",; Lopez-Vaquera Selma,,,10.70675/ebc65f6czbd70z4b20z8b9dz060f92879a22,,crossref,False,animal_experiment,animal,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Anti-aging effects of metformin: impact on signs of aging,Bobok Natalia,2025.0,Проблеми старіння і довголіття (Україна) . Problems of ageing and longevity (Ukraine),10.71012/pro-ageing-2025-1-03,,crossref,False,unclear_or_metadata_only,unclear,,,,metformin,metformin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,nutrient_sensing,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,6.5,biomarker_or_preclinical_evidence
"Peer Review #2 of ""Nicotinamide riboside exerts protective effect against aging-induced NAFLD-like hepatic dysfunction in mice (v0.1)""",,2019.0,,10.7287/peerj.7568v0.1/reviews/2,,crossref,False,animal_experiment,animal,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,7.0,biomarker_or_preclinical_evidence
Figure 1. Various modes of axonal protection mediated by the manipulation of NAD+ synthesis pathways.,,,,10.7554/elife.19749.002,,crossref,False,unclear_or_metadata_only,unclear,,,,nad_sirtuin,nad_sirtuin,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,sirtuin_nad,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,5.5,biomarker_or_preclinical_evidence
Figure 2—figure supplement 4. Age-related changes in DNA methylation of the ten WLMT clock sites with highest positive weights.,,,,10.7554/elife.40675.012,,crossref,False,unclear_or_metadata_only,human,,,,supplements,supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.0,promising_but_incomplete
Figure 2—figure supplement 5. Age-related changes in DNA methylation for the ten WLMT clock sites with lowest negative weights.,,,,10.7554/elife.40675.013,,crossref,False,unclear_or_metadata_only,human,,,,supplements,supplements,,,,,surrogate_or_indirect,not_extracted_metadata_only,,,,epigenetic_alterations,inferred_from_title_abstract,0.45,requires_full_text_verification,Metadata-assisted extraction; do not use as final effect extraction.,9.0,promising_but_incomplete
